Title,Description,Content Type,Genres
Aalorukkam,"When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths.",Movie,"Dramas, Independent Movies, International Movies"
Aamir,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order.",Movie,"International Movies, Thrillers"
Aapla Manus,"When a man falls from his balcony, an investigator questions the victimâs family, determined to uncover a darker truth behind the alleged accident.",Movie,"Dramas, International Movies, Thrillers"
Aashik Awara,"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.",Movie,"Dramas, International Movies, Music & Musicals"
Aaviri,"After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.",Movie,"Horror Movies, International Movies, Thrillers"
Abby Hatcher,"A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks.",TV Show,Kids' TV
ABCD 2,"After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship.",Movie,"Dramas, International Movies, Music & Musicals"
ABCD Any Body Can Dance,"Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest.",Movie,"Dramas, International Movies"
Abducted in Plain Sight,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice.",Movie,Documentaries
Abduction,"When a teen comes across his own childhood photo on a missing persons website, he begins to question everything he's ever known.",Movie,Action & Adventure
Abdullah The Final Witness,"Inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across Quetta, and the officer taking on his case.",Movie,"Dramas, International Movies"
Abla Fahita Drama Queen,"Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family.",TV Show,"Crime TV Shows, International TV Shows, TV Comedies"
About Time,"When Tim learns that the men in his family can travel in time and change their own lives, he decides to go back and win the woman of his dreams.",Movie,"Comedies, Dramas, International Movies"
Abstract The Art of Design,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.,TV Show,Docuseries
Absurd Planet,"A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earthâs most incredible animals.",TV Show,"Docuseries, Science & Nature TV, TV Comedies"
Abyss,"After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover theyâve come back to life in new bodies they donât recognize.",TV Show,"Crime TV Shows, International TV Shows, Korean TV Shows"
Abzurdah,A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.,Movie,"Dramas, International Movies"
Accepted,"Rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts.",Movie,Comedies
Accident,A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.,Movie,"International Movies, Thrillers"
Accidentally in Love,"Rejecting the demands of her wealthy family, a young woman poses as an ordinary college student and crosses paths with a stoic pop star at school.",TV Show,"International TV Shows, Romantic TV Shows, TV Comedies"
Accomplice,Traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.,Movie,"Documentaries, International Movies, Sports Movies"
Across Grace Alley,"A young boy, upset by his parents' divorce, becomes infatuated with his grandmother's neighbor, an entrancing dancer he watches through a window.",Movie,Dramas
Action Replayy,"Sick of his parentsâ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss.",Movie,"Children & Family Movies, Comedies, International Movies"
Acts of Vengeance,"Devastated by the murder of his wife and child, a formerly fast-talking lawyer takes a vow of silence and trains himself for a mission of revenge.",Movie,"Action & Adventure, International Movies"
Ad Vitam,"In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
Adam Devine Best Time of Our Lives,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha.",Movie,Stand-Up Comedy
ADAM SANDLER 100 FRESH,"From ""Heroes"" to ""Ice Cream Ladies"" â Adam Sandler's comedy special hits you with new songs and jokes in an unexpected, groundbreaking way.",Movie,Stand-Up Comedy
Adam His Song Continues,"After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children.",Movie,Dramas
Adel Karam Live from Beirut,"From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a porn star named Rocco.",Movie,Stand-Up Comedy
Adhugo,A fast-footed piglet named Bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animal-racing schemes.,Movie,"Comedies, Independent Movies, International Movies"
Aditi Mittal Things They Wouldnt Let Me Say,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.",Movie,Stand-Up Comedy
Adrift,A young coupleâs sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.,Movie,"Action & Adventure, Dramas, Romantic Movies"
Ad,"Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.",Movie,"Dramas, International Movies"
Advantageous,"In order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure.",Movie,"Dramas, Independent Movies, Sci-Fi & Fantasy"
Aelay,"A son stoically returns to his village upon his fatherâs death, recalling their chilly dynamic before a bizarre event disrupts his visit.",Movie,"Comedies, Dramas, Independent Movies"
Aerials,Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.,Movie,"International Movies, Sci-Fi & Fantasy"
Afflicted,Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers â and relief.,TV Show,"Docuseries, Reality TV, Science & Nature TV"
Afonso Padilha Classless,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.,Movie,Stand-Up Comedy
Afronta Facing It,"This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.",TV Show,"Docuseries, International TV Shows"
After,"Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.",Movie,"Dramas, Romantic Movies"
After Life,"Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",TV Show,"British TV Shows, International TV Shows, TV Comedies"
After Maria,"Displaced by Hurricane Maria, three Puerto Rican women navigate their families' uncertain futures as their federal housing aid in New York expires.",Movie,Documentaries
